"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"X1";"resonator_smd";1;"16MHz";;;
2;"JP1";"Pin_Header_Straight_1x02";1;"Jumper_NC_Small";;;
3;"P1,P3";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
4;"IC1";"LQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-A";;;
5;"U1";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102";;;
6;"P14";"Logo_8";1;"CONN_01X01";;;
7;"C1,C2,C3,C4,C6,C9";"C_0603";6;"0.1uF";;;
8;"C7,C8";"C_1206";2;"10uF";;;
9;"D1";"LED-0603";1;"LED";;;
10;"D3";"LED-0603";1;"Power LED";;;
11;"IC2";"SOT-23-5";1;"MIC5205";;;
12;"R1,R2";"R_0603";2;"330E";;;
13;"R3";"R_0603";1;"10K";;;
14;"R4";"R_0603";1;"470E";;;
15;"R8";"R_0603";1;"1K";;;
16;"SW1";"smd_push2";1;"RESET";;;
17;"CON1";"USB_Micro-B_SMD_NEW_1";1;"USB-MINI-B";;;
18;"P2,P5";"Pin_Header_Straight_1x20_New";2;"CONN_01X12";;;
19;"D4";"Diode_New";1;"DIODE";;;
